"ACQDATE","ADDRESS","ADDRESS2","BKCLASS","CBSA","CBSA_DIV","CBSA_DIV_FLG","CBSA_DIV_NO","CBSA_METRO","CBSA_METRO_FLG","CBSA_METRO_NAME","CBSA_MICRO_FLG","CBSA_NO","CERT","CITY","COUNTY","CSA","CSA_FLG","CSA_NO","ESTYMD","FI_UNINUM","ID","LATITUDE","LONGITUDE","MAINOFF","MDI_STATUS_CODE","MDI_STATUS_DESC","NAME","OFFNAME","OFFNUM","RUNDATE","SERVTYPE","SERVTYPE_DESC","STALP","STCNTY","STNAME","UNINUM","ZIP"
"07/23/1999","1025 Holcombe Blvd","","N","Houston-The Woodlands-Sugar Land, TX","","0","","26420","1","Houston-The Woodlands-Sugar Land, TX","0","26420","3510","Houston","Harris","Houston-The Woodlands, TX","1","288","11/12/1948",2238,"10861",29.706694981878016,-95.40412901686697,0,"","NULL","Bank of America, National Association","FANNIN BRANCH",5281,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","TX","48201","Texas",10861,"77030"
"07/23/1999","2818 E Point St","","N","Atlanta-Sandy Springs-Alpharetta, GA","","0","","12060","1","Atlanta-Sandy Springs-Alpharetta, GA","0","12060","3510","East Point","Fulton","Atlanta-Athens-Clarke County-Sandy Springs, GA-AL","1","122","09/03/1946",2238,"10865",33.67823600474662,-84.4416719602615,0,"","NULL","Bank of America, National Association","EAST POINT BRANCH",4211,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","GA","13121","Georgia",10865,"30344"
"07/23/1999","796 5th Ave S","","N","Naples-Marco Island, FL","","0","","34940","1","Naples-Marco Island, FL","0","34940","3510","Naples","Collier","Cape Coral-Fort Myers-Naples, FL","1","163","02/15/1949",2238,"10880",26.141394002428925,-81.79662603968598,0,"","NULL","Bank of America, National Association","FIFTH AVENUE SOUTH BRANCH",6023,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","FL","12021","Florida",10880,"34102"
"07/23/1999","9499 Ne 2nd Ave","","N","Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Miami Beach-Kendall, FL","1","33124","33100","1","Miami-Fort Lauderdale-Pompano Beach, FL","0","33100","3510","Miami Shores","Miami-Dade","Miami-Port St. Lucie-Fort Lauderdale, FL","1","370","02/07/1950",2238,"10975",25.862145994725708,-80.19306696029057,0,"","NULL","Bank of America, National Association","SHORES VILLAGE BRANCH",4460,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","FL","12086","Florida",10975,"33138"
"07/23/1999","5133 Bellaire Blvd","","N","Houston-The Woodlands-Sugar Land, TX","","0","","26420","1","Houston-The Woodlands-Sugar Land, TX","0","26420","3510","Bellaire","Harris","Houston-The Woodlands, TX","1","288","07/03/1950",2238,"11003",29.704968980376123,-95.4700169784343,0,"","NULL","Bank of America, National Association","BELLAIRE BRANCH",5280,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","TX","48201","Texas",11003,"77401"
"07/23/1999","1900 Tyler St","","N","Miami-Fort Lauderdale-Pompano Beach, FL","Fort Lauderdale-Pompano Beach-Sunrise, FL","1","22744","33100","1","Miami-Fort Lauderdale-Pompano Beach, FL","0","33100","3510","Hollywood","Broward","Miami-Port St. Lucie-Fort Lauderdale, FL","1","370","11/07/1950",2238,"11027",26.01220498607131,-80.14525298035949,0,"","NULL","Bank of America, National Association","TYLER STREET BRANCH",5685,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","FL","12011","Florida",11027,"33020"
"07/23/1999","6360 Camp Bowie Blvd","","N","Dallas-Fort Worth-Arlington, TX","Fort Worth-Arlington-Grapevine, TX","1","23104","19100","1","Dallas-Fort Worth-Arlington, TX","0","19100","3510","Fort Worth","Tarrant","Dallas-Fort Worth, TX-OK","1","206","12/01/1950",2238,"11038",32.72691099100136,-97.42095598830886,0,"","NULL","Bank of America, National Association","CAMP BOWIE BRANCH",5264,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","TX","48439","Texas",11038,"76116"
"07/23/1999","201 N Charles St","","N","Baltimore-Columbia-Towson, MD","","0","","12580","1","Baltimore-Columbia-Towson, MD","0","12580","3510","Baltimore","Baltimore City","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","1","548","03/10/1854",2238,"11049",39.29133898545584,-76.6149650125834,0,"","NULL","Bank of America, National Association","CHARLES STREET BRANCH",3955,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","MD","24510","Maryland",11049,"21201"
"07/23/1999","3100 S University Dr","","N","Dallas-Fort Worth-Arlington, TX","Fort Worth-Arlington-Grapevine, TX","1","23104","19100","1","Dallas-Fort Worth-Arlington, TX","0","19100","3510","Fort Worth","Tarrant","Dallas-Fort Worth, TX-OK","1","206","01/22/1951",2238,"11053",32.70569999828268,-97.36094801563814,0,"","NULL","Bank of America, National Association","UNIVERSITY DRIVE BRANCH",5267,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","TX","48439","Texas",11053,"76109"
"07/23/1999","222 Lakeview Ave","Ste 100","N","Miami-Fort Lauderdale-Pompano Beach, FL","West Palm Beach-Boca Raton-Boynton Beach, FL","1","48424","33100","1","Miami-Fort Lauderdale-Pompano Beach, FL","0","33100","3510","West Palm Beach","Palm Beach","Miami-Port St. Lucie-Fort Lauderdale, FL","1","370","06/01/1951",2238,"11087",26.705794984803433,-80.05096696319569,0,"","NULL","Bank of America, National Association","ESPERANTE BRANCH",5797,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","FL","12099","Florida",11087,"33401"
"07/23/1999","1116 W University Ave","","N","Gainesville, FL","","0","","23540","1","Gainesville, FL","0","23540","3510","Gainesville","Alachua","Gainesville-Lake City, FL","1","264","06/19/1951",2238,"11089",29.652341985913154,-82.33638699275274,0,"","NULL","Bank of America, National Association","UNIVERSITY AVENUE BRANCH",5674,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","FL","12001","Florida",11089,"32601"
"06/13/2005","470 N Delsea Dr","","N","Vineland-Bridgeton, NJ","","0","","47220","1","Vineland-Bridgeton, NJ","0","47220","3510","Vineland","Cumberland","Philadelphia-Reading-Camden, PA-NJ-DE-MD","1","428","07/15/1952",2238,"11173",39.493675990725706,-75.04306396238648,0,"","NULL","Bank of America, National Association","VINELAND - N. DELSEA DRIVE BRANCH",8311,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","NJ","34011","New Jersey",11173,"08360"
"07/23/1999","795 Main St W","","N","Knoxville, TN","","0","","28940","1","Knoxville, TN","0","28940","3510","Oak Ridge","Anderson","Knoxville-Morristown-Sevierville, TN","1","315","06/08/1953",2238,"11253",36.012924986897474,-84.25603602279725,0,"","NULL","Bank of America, National Association","OAK RIDGE MAIN BRANCH",6238,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","TN","47001","Tennessee",11253,"37830"
"06/13/2005","740 Hopmeadow St","","N","","",0,0,0,0,,0,0,"3510","Simsbury","Capitol","",0,0,"12/01/1917",2238,"11266",41.87379106698756,-72.80212243776954,0,"","NULL","Bank of America, National Association","SIMSBURY BRANCH",7577,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","CT","09110","Connecticut",11266,"06070"
"07/23/1999","8773 Katy Fwy","","N","Houston-The Woodlands-Sugar Land, TX","","0","","26420","1","Houston-The Woodlands-Sugar Land, TX","0","26420","3510","Houston","Harris","Houston-The Woodlands, TX","1","288","08/01/1953",2238,"11276",29.783395011808437,-95.50521401479152,0,"","NULL","Bank of America, National Association","SPRING BRANCH BRANCH",5289,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","TX","48201","Texas",11276,"77024"
"06/13/2005","1930 Morris Ave","","N","New York-Newark-Jersey City, NY-NJ-PA","Newark, NJ-PA","1","35084","35620","1","New York-Newark-Jersey City, NY-NJ-PA","0","35620","3510","Union","Union","New York-Newark, NY-NJ-CT-PA","1","408","11/20/1953",2238,"11291",40.695488020170245,-74.26698798978096,0,"","NULL","Bank of America, National Association","UNION CENTER BRANCH",8362,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","NJ","34039","New Jersey",11291,"07083"
"07/23/1999","1745 E Sunrise Blvd","","N","Miami-Fort Lauderdale-Pompano Beach, FL","Fort Lauderdale-Pompano Beach-Sunrise, FL","1","22744","33100","1","Miami-Fort Lauderdale-Pompano Beach, FL","0","33100","3510","Fort Lauderdale","Broward","Miami-Port St. Lucie-Fort Lauderdale, FL","1","370","01/08/1954",2238,"11311",26.13785499527019,-80.12355499906631,0,"","NULL","Bank of America, National Association","EAST SUNRISE BOULEVARD BRANCH",4371,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","FL","12011","Florida",11311,"33304"
"01/01/1997","300 S 4th St","","N","Las Vegas-Henderson-Paradise, NV","","0","","29820","1","Las Vegas-Henderson-Paradise, NV","0","29820","3510","Las Vegas","Clark","Las Vegas-Henderson, NV","1","332","01/18/1954",2238,"11314",36.16672498926833,-115.14419898164654,0,"","NULL","Bank of America, National Association","PLAZA BRANCH",2675,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","NV","32003","Nevada",11314,"89101"
"07/23/1999","331 S Florida Ave","","N","Lakeland-Winter Haven, FL","","0","","29460","1","Lakeland-Winter Haven, FL","0","29460","3510","Lakeland","Polk","Orlando-Lakeland-Deltona, FL","1","422","07/21/1954",2238,"11351",28.040921016615314,-81.95748800502973,0,"","NULL","Bank of America, National Association","LAKELAND BRANCH",5845,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","FL","12105","Florida",11351,"33801"
"07/23/1999","2728 Ne Vivion Rd","","N","Kansas City, MO-KS","","0","","28140","1","Kansas City, MO-KS","0","28140","3510","Kansas City","Clay","Kansas City-Overland Park-Kansas City, MO-KS","1","312","03/14/1955",2238,"11444",39.18841198048946,-94.54571601680746,0,"","NULL","Bank of America, National Association","VIVION ROAD BRANCH",4798,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","MO","29047","Missouri",11444,"64119"
"06/13/2005","601 N Wood Ave","","N","New York-Newark-Jersey City, NY-NJ-PA","Newark, NJ-PA","1","35084","35620","1","New York-Newark-Jersey City, NY-NJ-PA","0","35620","3510","Linden","Union","New York-Newark, NY-NJ-CT-PA","1","408","11/14/1955",2238,"11485",40.63366398244801,-74.25901101634791,0,"","NULL","Bank of America, National Association","WOOD AVENUE BRANCH",8369,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","NJ","34039","New Jersey",11485,"07036"
"07/23/1999","4301 Hampton Ave","","N","St. Louis, MO-IL","","0","","41180","1","St. Louis, MO-IL","0","41180","3510","Saint Louis","Saint Louis (city)","St. Louis-St. Charles-Farmington, MO-IL","1","476","11/29/1955",2238,"11497",38.59143900619421,-90.29549196841917,0,"","NULL","Bank of America, National Association","HAMPTON MAIN BRANCH",4762,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","MO","29510","Missouri",11497,"63109"
"07/23/1999","2706 W Irving Blvd","","N","Dallas-Fort Worth-Arlington, TX","Dallas-Plano-Irving, TX","1","19124","19100","1","Dallas-Fort Worth-Arlington, TX","0","19100","3510","Irving","Dallas","Dallas-Fort Worth, TX-OK","1","206","10/31/1955",2238,"11508",32.82942698934555,-96.98295703948614,0,"","NULL","Bank of America, National Association","IRVING BRANCH",5231,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","TX","48113","Texas",11508,"75061"
"07/23/1999","5000 Biscayne Blvd","","N","Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Miami Beach-Kendall, FL","1","33124","33100","1","Miami-Fort Lauderdale-Pompano Beach, FL","0","33100","3510","Miami","Miami-Dade","Miami-Port St. Lucie-Fort Lauderdale, FL","1","370","03/30/1956",2238,"11547",25.820976014165666,-80.18786297188507,0,"","NULL","Bank of America, National Association","BAY POINT BRANCH",4463,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","FL","12086","Florida",11547,"33137"
"07/23/1999","1199 Ne 163rd St","","N","Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Miami Beach-Kendall, FL","1","33124","33100","1","Miami-Fort Lauderdale-Pompano Beach, FL","0","33100","3510","North Miami Beach","Miami-Dade","Miami-Port St. Lucie-Fort Lauderdale, FL","1","370","04/24/1956",2238,"11556",25.926040991175014,-80.17663801097154,0,"","NULL","Bank of America, National Association","NORTH MIAMI BEACH BRANCH",4444,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","FL","12086","Florida",11556,"33162"
"07/23/1999","1933 E Hillsborough Ave","","N","Tampa-St. Petersburg-Clearwater, FL","","0","","45300","1","Tampa-St. Petersburg-Clearwater, FL","0","45300","3510","Tampa","Hillsborough","","0","","05/09/1956",2238,"11567",27.99569599702754,-82.43762202674412,0,"","NULL","Bank of America, National Association","EAST HILLSBOROUGH BRANCH",5907,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","FL","12057","Florida",11567,"33610"
"07/23/1999","926 Southmore Ave","","N","Houston-The Woodlands-Sugar Land, TX","","0","","26420","1","Houston-The Woodlands-Sugar Land, TX","0","26420","3510","Pasadena","Harris","Houston-The Woodlands, TX","1","288","09/14/1956",2238,"11609",29.69043999895939,-95.2019659779975,0,"","NULL","Bank of America, National Association","PASADENA BRANCH",5294,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","TX","48201","Texas",11609,"77502"
"07/23/1999","1066 Main St","","N","Atlanta-Sandy Springs-Alpharetta, GA","","0","","12060","1","Atlanta-Sandy Springs-Alpharetta, GA","0","12060","3510","Forest Park","Clayton","Atlanta-Athens-Clarke County-Sandy Springs, GA-AL","1","122","07/18/1955",2238,"11646",33.61931197979456,-84.35509100759174,0,"","NULL","Bank of America, National Association","FOREST PARK BRANCH",4536,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","GA","13063","Georgia",11646,"30297"
"07/23/1999","5401 Overseas Hwy","","N","Key West, FL","","0","",0,"0",,"1","28580","3510","Marathon","Monroe","Miami-Port St. Lucie-Fort Lauderdale, FL","1","370","12/07/1956",2238,"11656",24.715696980578684,-81.0761359990929,0,"","NULL","Bank of America, National Association","MARATHON BRANCH",4367,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","FL","12087","Florida",11656,"33050"
"07/23/1999","3800 W Broward Blvd","","N","Miami-Fort Lauderdale-Pompano Beach, FL","Fort Lauderdale-Pompano Beach-Sunrise, FL","1","22744","33100","1","Miami-Fort Lauderdale-Pompano Beach, FL","0","33100","3510","Fort Lauderdale","Broward","Miami-Port St. Lucie-Fort Lauderdale, FL","1","370","01/03/1957",2238,"11666",26.12066899245636,-80.19972898075345,0,"","NULL","Bank of America, National Association","BROWARD AND 441 BRANCH",4306,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","FL","12011","Florida",11666,"33312"
"07/23/1999","7624 State Line Rd","","N","Kansas City, MO-KS","","0","","28140","1","Kansas City, MO-KS","0","28140","3510","Prairie Village","Johnson","Kansas City-Overland Park-Kansas City, MO-KS","1","312","11/21/1956",2238,"11667",38.98956398432588,-94.60853201086098,0,"","NULL","Bank of America, National Association","76TH & STATE LINE BRANCH",4885,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","KS","20091","Kansas",11667,"66208"
"07/23/1999","2501 S Congress Ave","","N","Austin-Round Rock-Georgetown, TX","","0","","12420","1","Austin-Round Rock-Georgetown, TX","0","12420","3510","Austin","Travis","","0","","03/18/1957",2238,"11682",30.23734899714465,-97.75426396064194,0,"","NULL","Bank of America, National Association","SOUTH AUSTIN BRANCH",5239,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","TX","48453","Texas",11682,"78704"
"06/13/2005","849 Main St","","N","Portland-South Portland, ME","","0","","38860","1","Portland-South Portland, ME","0","38860","3510","Westbrook","Cumberland","Portland-Lewiston-South Portland, ME","1","438","01/01/1890",2238,"11686",43.67674385368673,-70.3659482441684,0,"","NULL","Bank of America, National Association","WESTBROOK - MAIN ST. BRANCH",8213,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","ME","23005","Maine",11686,"04092"
"07/23/1999","6315 Backlick Rd","","N","Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV","1","47894","47900","1","Washington-Arlington-Alexandria, DC-VA-MD-WV","0","47900","3510","Springfield","Fairfax","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","1","548","04/11/1957",2238,"11694",38.781857657610374,-77.18499963972019,0,"","NULL","Bank of America, National Association","CENTRAL SPRINGFIELD BRANCH",3804,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","VA","51059","Virginia",11694,"22150"
"07/01/1996","1001 Sw 5th Ave","","N","Portland-Vancouver-Hillsboro, OR-WA","","0","","38900","1","Portland-Vancouver-Hillsboro, OR-WA","0","38900","3510","Portland","Multnomah","Portland-Vancouver-Salem, OR-WA","1","440","04/07/1958",2238,"11790",45.51660998981288,-122.67936598634319,0,"","NULL","Bank of America, National Association","5TH & MAIN BRANCH",2556,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","OR","41051","Oregon",11790,"97204"
"07/23/1999","5348 Westheimer Rd","","N","Houston-The Woodlands-Sugar Land, TX","","0","","26420","1","Houston-The Woodlands-Sugar Land, TX","0","26420","3510","Houston","Harris","Houston-The Woodlands, TX","1","288","04/11/1958",2238,"11793",29.74020000535073,-95.46922497240325,0,"","NULL","Bank of America, National Association","GALLERIA HOUSTON BRANCH",5496,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","TX","48201","Texas",11793,"77056"
"07/23/1999","10230 Watson Rd","","N","St. Louis, MO-IL","","0","","41180","1","St. Louis, MO-IL","0","41180","3510","Saint Louis","St. Louis","St. Louis-St. Charles-Farmington, MO-IL","1","476","04/15/1958",2238,"11798",38.555503985171896,-90.40048796236537,0,"","NULL","Bank of America, National Association","SUNSET HILLS BRANCH",4760,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","MO","29189","Missouri",11798,"63127"
"07/23/1999","5100 Park Blvd N","","N","Tampa-St. Petersburg-Clearwater, FL","","0","","45300","1","Tampa-St. Petersburg-Clearwater, FL","0","45300","3510","Pinellas Park","Pinellas","","0","","08/01/1958",2238,"11832",27.838923017419376,-82.70287196277775,0,"","NULL","Bank of America, National Association","PINELLAS PARK BRANCH",4407,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","FL","12103","Florida",11832,"33781"
"07/23/1999","5500 Preston Rd","","N","Dallas-Fort Worth-Arlington, TX","Dallas-Plano-Irving, TX","1","19124","19100","1","Dallas-Fort Worth-Arlington, TX","0","19100","3510","Dallas","Dallas","Dallas-Fort Worth, TX-OK","1","206","10/14/1958",2238,"11845",32.837104016373445,-96.80370501093739,0,"","NULL","Bank of America, National Association","PARK CITIES BRANCH",5225,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","TX","48113","Texas",11845,"75205"
"07/23/1999","6525 S Tamiami Trl","","N","North Port-Sarasota-Bradenton, FL","","0","","35840","1","North Port-Sarasota-Bradenton, FL","0","35840","3510","Sarasota","Sarasota","North Port-Sarasota, FL","1","412","11/03/1958",2238,"11856",27.259157922705242,-82.5207037024762,0,"","NULL","Bank of America, National Association","GULF GATE BRANCH",4345,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","FL","12115","Florida",11856,"34231"
"07/23/1999","9629 Olive Blvd","","N","St. Louis, MO-IL","","0","","41180","1","St. Louis, MO-IL","0","41180","3510","Olivette","St. Louis","St. Louis-St. Charles-Farmington, MO-IL","1","476","06/01/1959",2238,"11933",38.6741620202894,-90.38694498612868,0,"","NULL","Bank of America, National Association","OLIVETTE BRANCH",4771,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","MO","29189","Missouri",11933,"63132"
"07/23/1999","2200 West Port Plaza Dr","","N","St. Louis, MO-IL","","0","","41180","1","St. Louis, MO-IL","0","41180","3510","Saint Louis","St. Louis","St. Louis-St. Charles-Farmington, MO-IL","1","476","06/15/1959",2238,"11950",38.70187301128257,-90.44312100412469,0,"","NULL","Bank of America, National Association","WESTPORT - ST. LOUIS BRANCH",4753,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","MO","29189","Missouri",11950,"63146"
"07/23/1999","6087 Roswell Rd","","N","Atlanta-Sandy Springs-Alpharetta, GA","","0","","12060","1","Atlanta-Sandy Springs-Alpharetta, GA","0","12060","3510","Atlanta","Fulton","Atlanta-Athens-Clarke County-Sandy Springs, GA-AL","1","122","12/11/1959",2238,"12047",33.921473009475264,-84.37868698703996,0,"","NULL","Bank of America, National Association","SANDY SPRINGS BRANCH",4213,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","GA","13121","Georgia",12047,"30328"
"10/17/2008","139 N Cass Ave","","N","Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Evanston, IL","1","16984","16980","1","Chicago-Naperville-Elgin, IL-IN-WI","0","16980","3510","Westmont","Dupage","Chicago-Naperville, IL-IN-WI","1","176","05/20/1960",2238,"12148",41.799100982863024,-87.97445396332743,0,"","NULL","Bank of America, National Association","WESTMONT BRANCH",9050,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","IL","17043","Illinois",12148,"60559"
